village farm

0x0y0z oak_log
0x0y1z oak_log
0x0y2z oak_log
0x0y3z oak_log
0x0y4z oak_log
0x0y5z oak_log
0x0y6z oak_log
0x0y7z oak_log
0x0y8z oak_log
1x0y0z oak_log
1x0y1z dirt
1x0y2z farmland
1x0y3z farmland
1x0y4z farmland
1x0y5z farmland
1x0y6z farmland
1x0y7z farmland
1x0y8z oak_log
1x1y1z composter
1x1y2z potatoes
1x1y3z wheat
1x1y4z carrots
1x1y5z wheat
1x1y6z wheat
1x1y7z carrots
2x0y0z oak_log
2x0y1z farmland
2x0y2z farmland
2x0y3z farmland
2x0y4z dirt
2x0y5z farmland
2x0y6z farmland
2x0y7z farmland
2x0y8z oak_log
2x1y1z wheat
2x1y2z wheat
2x1y3z potatoes
2x1y5z carrots
2x1y6z wheat
2x1y7z beetroots
3x0y0z oak_log
3x0y1z water
3x0y2z water
3x0y3z water
3x0y4z water
3x0y5z water
3x0y6z water
3x0y7z water
3x0y8z oak_log
4x0y0z oak_log
4x0y1z farmland
4x0y2z farmland
4x0y3z dirt
4x0y4z farmland
4x0y5z farmland
4x0y6z dirt
4x0y7z farmland
4x0y8z oak_log
4x1y1z carrots
4x1y2z potatoes
4x1y4z wheat
4x1y5z potatoes
4x1y7z wheat
5x0y0z oak_log
5x0y1z farmland
5x0y2z farmland
5x0y3z farmland
5x0y4z farmland
5x0y5z farmland
5x0y6z farmland
5x0y7z farmland
5x0y8z oak_log
5x1y1z potatoes
5x1y2z wheat
5x1y3z wheat
5x1y4z carrots
5x1y5z beetroots
5x1y6z wheat
5x1y7z wheat
6x0y0z oak_log
6x0y1z oak_log
6x0y2z oak_log
6x0y3z oak_log
6x0y4z oak_log
6x0y5z oak_log
6x0y6z oak_log
6x0y7z oak_log
6x0y8z oak_log
