oak tree

1x3y1z oak_leaves
1x3y2z oak_leaves
1x3y3z oak_leaves
1x3y4z oak_leaves
1x4y0z oak_leaves
1x4y1z oak_leaves
1x4y2z oak_leaves
1x4y3z oak_leaves
2x3y0z oak_leaves
2x3y1z oak_leaves
2x3y2z oak_leaves
2x3y3z oak_leaves
2x3y4z oak_leaves
2x4y0z oak_leaves
2x4y1z oak_leaves
2x4y2z oak_leaves
2x4y3z oak_leaves
2x4y4z oak_leaves
2x5y1z oak_leaves
2x5y2z oak_leaves
2x5y3z oak_leaves
2x6y2z oak_leaves
3x0y2z oak_log
3x1y2z oak_log
3x2y2z oak_log
3x3y0z oak_leaves
3x3y1z oak_leaves
3x3y2z oak_log
3x3y3z oak_leaves
3x3y4z oak_leaves
3x4y0z oak_leaves
3x4y1z oak_leaves
3x4y2z oak_log
3x4y3z oak_leaves
3x4y4z oak_leaves
3x5y1z oak_leaves
3x5y2z oak_log
3x5y3z oak_leaves
3x6y1z oak_leaves
3x6y2z oak_leaves
3x6y3z oak_leaves
4x3y0z oak_leaves
4x3y1z oak_leaves
4x3y2z oak_leaves
4x3y3z oak_leaves
4x3y4z oak_leaves
4x4y0z oak_leaves
4x4y1z oak_leaves
4x4y2z oak_leaves
4x4y3z oak_leaves
4x4y4z oak_leaves
4x5y2z oak_leaves
4x5y3z oak_leaves
4x6y2z oak_leaves
5x3y1z oak_leaves
5x3y2z oak_leaves
5x3y3z oak_leaves
5x3y4z oak_leaves
5x4y1z oak_leaves
5x4y2z oak_leaves
5x4y3z oak_leaves
