village barn

0x0y0z oak_fence
0x0y1z oak_fence
0x0y2z oak_fence
0x0y3z oak_fence
0x0y4z oak_fence
0x0y5z oak_fence
0x1y0z torch
0x1y5z torch
1x0y0z oak_fence
1x0y5z oak_fence
1x3y4z oak_stairs
1x3y5z oak_stairs
1x3y6z oak_stairs
1x3y7z oak_stairs
1x3y8z oak_stairs
1x3y9z oak_stairs
1x3y10z oak_stairs
1x3y11z oak_stairs
1x3y12z oak_stairs
1x3y13z oak_stairs
1x3y14z oak_stairs
2x0y0z oak_fence
2x0y5z cobblestone
2x0y6z cobblestone
2x0y7z oak_door
2x0y8z cobblestone
2x0y9z cobblestone
2x0y10z cobblestone
2x0y11z cobblestone
2x0y12z cobblestone
2x0y13z cobblestone
2x0y14z cobblestone
2x1y5z cobblestone
2x1y6z cobblestone
2x1y7z oak_door
2x1y8z cobblestone
2x1y9z oak_log
2x1y10z glass_pane
2x1y11z oak_log
2x1y12z glass_pane
2x1y13z oak_log
2x1y14z cobblestone
2x2y5z cobblestone
2x2y6z cobblestone
2x2y7z cobblestone
2x2y8z cobblestone
2x2y9z cobblestone
2x2y10z mossy_cobblestone
2x2y11z cobblestone
2x2y12z cobblestone
2x2y13z cobblestone
2x2y14z cobblestone
2x3y4z oak_stairs
2x3y5z cobblestone
2x3y6z cobblestone
2x3y7z cobblestone
2x3y8z cobblestone
2x3y9z cobblestone
2x3y10z cobblestone
2x3y11z cobblestone
2x3y12z cobblestone
2x3y13z cobblestone
2x3y14z mossy_cobblestone
2x4y4z oak_stairs
2x4y5z oak_stairs
2x4y6z oak_stairs
2x4y7z oak_stairs
2x4y8z oak_stairs
2x4y9z oak_stairs
2x4y10z oak_stairs
2x4y11z oak_stairs
2x4y12z oak_stairs
2x4y13z oak_stairs
2x4y14z oak_stairs
3x0y0z oak_fence
3x0y3z hay_block
3x0y8z hay_block
3x0y9z hay_block
3x0y12z oak_log
3x0y13z water
3x0y14z cobblestone
3x1y8z hay_block
3x1y14z oak_log
3x2y5z cobblestone_stairs
3x2y14z cobblestone
3x3y5z cobblestone
3x3y10z wall_torch
3x3y14z cobblestone
3x4y4z oak_stairs
3x4y5z cobblestone
3x4y14z cobblestone
3x5y4z oak_stairs
3x5y5z oak_stairs
3x5y6z oak_stairs
3x5y7z oak_stairs
3x5y8z oak_stairs
3x5y9z oak_stairs
3x5y10z oak_stairs
3x5y11z oak_stairs
3x5y12z oak_stairs
3x5y13z oak_stairs
3x5y14z oak_stairs
4x0y0z oak_fence
4x0y12z oak_log
4x0y13z water
4x0y14z cobblestone
4x1y14z glass_pane
4x2y14z cobblestone
4x3y4z wall_torch
4x3y5z cobblestone
4x3y6z wall_torch
4x3y13z wall_torch
4x3y14z cobblestone
4x4y5z cobblestone
4x4y14z cobblestone
4x5y4z oak_planks
4x5y5z oak_planks
4x5y6z oak_planks
4x5y7z oak_planks
4x5y8z oak_planks
4x5y9z oak_planks
4x5y10z oak_planks
4x5y11z oak_planks
4x5y12z oak_planks
4x5y13z oak_planks
4x5y14z oak_planks
5x0y0z oak_fence
5x0y5z hay_block
5x0y12z oak_log
5x0y13z water
5x0y14z cobblestone
5x1y14z oak_log
5x2y5z cobblestone_stairs
5x2y14z cobblestone
5x3y5z cobblestone
5x3y10z wall_torch
5x3y14z cobblestone
5x4y4z oak_stairs
5x4y5z cobblestone
5x4y14z cobblestone
5x5y4z oak_stairs
5x5y5z oak_stairs
5x5y6z oak_stairs
5x5y7z oak_stairs
5x5y8z oak_stairs
5x5y9z oak_stairs
5x5y10z oak_stairs
5x5y11z oak_stairs
5x5y12z oak_stairs
5x5y13z oak_stairs
5x5y14z oak_stairs
6x0y0z oak_fence
6x0y5z cobblestone
6x0y6z cobblestone
6x0y7z cobblestone
6x0y8z cobblestone
6x0y9z cobblestone
6x0y10z cobblestone
6x0y11z cobblestone
6x0y12z cobblestone
6x0y13z cobblestone
6x0y14z cobblestone
6x1y5z cobblestone
6x1y6z cobblestone
6x1y7z cobblestone
6x1y8z oak_log
6x1y9z glass_pane
6x1y10z oak_log
6x1y11z glass_pane
6x1y12z oak_log
6x1y13z mossy_cobblestone
6x1y14z cobblestone
6x2y5z cobblestone
6x2y6z cobblestone
6x2y7z cobblestone
6x2y8z cobblestone
6x2y9z cobblestone
6x2y10z cobblestone
6x2y11z cobblestone
6x2y12z cobblestone
6x2y13z cobblestone
6x2y14z cobblestone
6x3y4z oak_stairs
6x3y5z mossy_cobblestone
6x3y6z cobblestone
6x3y7z cobblestone
6x3y8z cobblestone
6x3y9z cobblestone
6x3y10z cobblestone
6x3y11z cobblestone
6x3y12z cobblestone
6x3y13z cobblestone
6x3y14z cobblestone
6x4y4z oak_stairs
6x4y5z oak_stairs
6x4y6z oak_stairs
6x4y7z oak_stairs
6x4y8z oak_stairs
6x4y9z oak_stairs
6x4y10z oak_stairs
6x4y11z oak_stairs
6x4y12z oak_stairs
6x4y13z oak_stairs
6x4y14z oak_stairs
7x0y0z oak_fence
7x0y5z oak_fence
7x3y4z oak_stairs
7x3y5z oak_stairs
7x3y6z oak_stairs
7x3y7z oak_stairs
7x3y8z oak_stairs
7x3y9z oak_stairs
7x3y10z oak_stairs
7x3y11z oak_stairs
7x3y12z oak_stairs
7x3y13z oak_stairs
7x3y14z oak_stairs
