village hut with folowers

0x0y0z oak_trapdoor
0x3y0z oak_stairs
0x3y1z oak_stairs
0x3y2z oak_stairs
0x3y3z oak_stairs
0x3y4z oak_stairs
0x3y5z oak_stairs
0x3y6z oak_stairs
0x3y7z oak_stairs
0x3y8z oak_stairs
1x0y0z grass_block
1x0y1z oak_log
1x0y2z cobblestone
1x0y3z cobblestone
1x0y4z mossy_cobblestone
1x0y5z cobblestone
1x0y6z cobblestone
1x0y7z oak_log
1x1y0z poppy
1x1y1z oak_log
1x1y2z cobblestone
1x1y3z glass_pane
1x1y4z cobblestone
1x1y5z glass_pane
1x1y6z cobblestone
1x1y7z oak_log
1x2y1z oak_log
1x2y2z cobblestone
1x2y3z cobblestone
1x2y4z mossy_cobblestone
1x2y5z cobblestone
1x2y6z cobblestone
1x2y7z oak_log
1x3y0z oak_stairs
1x3y1z oak_log
1x3y2z oak_log
1x3y3z oak_log
1x3y4z oak_log
1x3y5z oak_log
1x3y6z oak_log
1x3y7z oak_log
1x3y8z oak_stairs
1x4y0z oak_stairs
1x4y1z oak_stairs
1x4y2z oak_stairs
1x4y3z oak_stairs
1x4y4z oak_stairs
1x4y5z oak_stairs
1x4y6z oak_stairs
1x4y7z oak_stairs
1x4y8z oak_stairs
2x0y0z grass_block
2x0y1z cobblestone
2x0y2z chest
2x0y4z yellow_carpet
2x0y5z white_carpet
2x0y6z yellow_carpet
2x0y7z cobblestone
2x1y0z dandelion
2x1y1z cobblestone
2x1y7z cobblestone
2x2y1z cobblestone
2x2y7z cobblestone
2x3y1z oak_log
2x3y7z oak_log
2x4y0z oak_stairs
2x4y1z cobblestone
2x4y7z cobblestone
2x4y8z oak_stairs
2x5y0z oak_stairs
2x5y1z oak_stairs
2x5y2z oak_stairs
2x5y3z oak_stairs
2x5y4z oak_stairs
2x5y5z oak_stairs
2x5y6z oak_stairs
2x5y7z oak_stairs
2x5y8z oak_stairs
3x0y1z oak_door
3x0y4z white_carpet
3x0y5z cartography_table
3x0y6z white_carpet
3x0y7z mossy_cobblestone
3x1y1z oak_door
3x1y7z glass_pane
3x2y1z cobblestone
3x2y7z cobblestone
3x3y0z wall_torch
3x3y1z oak_log
3x3y2z wall_torch
3x3y6z wall_torch
3x3y7z oak_log
3x4y1z mossy_cobblestone
3x4y7z mossy_cobblestone
3x5y0z oak_planks
3x5y1z oak_planks
3x5y2z oak_planks
3x5y3z oak_planks
3x5y4z oak_planks
3x5y5z oak_planks
3x5y6z oak_planks
3x5y7z oak_planks
3x5y8z oak_planks
3x6y0z oak_slab
3x6y1z oak_slab
3x6y2z oak_slab
3x6y3z oak_slab
3x6y4z oak_slab
3x6y5z oak_slab
3x6y6z oak_slab
3x6y7z oak_slab
3x6y8z oak_slab
4x0y0z grass_block
4x0y1z cobblestone
4x0y2z oak_fence
4x0y4z yellow_carpet
4x0y5z white_carpet
4x0y6z yellow_carpet
4x0y7z cobblestone
4x1y0z poppy
4x1y1z cobblestone
4x1y2z oak_pressure_plate
4x1y7z cobblestone
4x2y1z cobblestone
4x2y7z cobblestone
4x3y1z oak_log
4x3y7z oak_log
4x4y0z oak_stairs
4x4y1z cobblestone
4x4y7z cobblestone
4x4y8z oak_stairs
4x5y0z oak_stairs
4x5y1z oak_stairs
4x5y2z oak_stairs
4x5y3z oak_stairs
4x5y4z oak_stairs
4x5y5z oak_stairs
4x5y6z oak_stairs
4x5y7z oak_stairs
4x5y8z oak_stairs
5x0y0z grass_block
5x0y1z oak_log
5x0y2z cobblestone
5x0y3z cobblestone
5x0y4z cobblestone
5x0y5z cobblestone
5x0y6z mossy_cobblestone
5x0y7z oak_log
5x1y0z dandelion
5x1y1z oak_log
5x1y2z cobblestone
5x1y3z glass_pane
5x1y4z cobblestone
5x1y5z glass_pane
5x1y6z cobblestone
5x1y7z oak_log
5x2y1z oak_log
5x2y2z cobblestone
5x2y3z mossy_cobblestone
5x2y4z cobblestone
5x2y5z cobblestone
5x2y6z cobblestone
5x2y7z oak_log
5x3y0z oak_stairs
5x3y1z oak_log
5x3y2z oak_log
5x3y3z oak_log
5x3y4z oak_log
5x3y5z oak_log
5x3y6z oak_log
5x3y7z oak_log
5x3y8z oak_stairs
5x4y0z oak_stairs
5x4y1z oak_stairs
5x4y2z oak_stairs
5x4y3z oak_stairs
5x4y4z oak_stairs
5x4y5z oak_stairs
5x4y6z oak_stairs
5x4y7z oak_stairs
5x4y8z oak_stairs
